種類,キャラクター,テキスト,画像
dialog,シュン3,あれ？　<ruby>大坂城<rt>おおさかじょう</rt></ruby>は<ruby>豊臣<rt>とよとみ</rt></ruby>の<ruby>城<rt>しろ</rt></ruby>じゃなかったか？,
dialog,サリー2,そう。<ruby>豊臣<rt>とよとみ</rt></ruby>の<ruby>城<rt>しろ</rt></ruby>から<ruby>徳川<rt>とくがわ</rt></ruby>が<ruby>指揮<rt>しき</rt></ruby>するようになったことで<ruby>家康<rt>いえやす</rt></ruby>のことを<ruby>誰<rt>だれ</rt></ruby>も<ruby>止<rt>と</rt></ruby>められなくなったから、<ruby>家康<rt>いえやす</rt></ruby>は<ruby>各地<rt>かくち</rt></ruby>の<ruby>大名<rt>だいみょう</rt></ruby>を<ruby>味方<rt>みかた</rt></ruby>に<ruby>引<rt>ひ</rt></ruby>き<ruby>込<rt>こ</rt></ruby>むわ。<ruby>一方<rt>いっぽう</rt></ruby>で、それに<ruby>不満<rt>ふまん</rt></ruby>を<ruby>持<rt>も</rt></ruby>つ<ruby>大名<rt>だいみょう</rt></ruby>もいたの。<ruby>上杉<rt>うえすぎ</rt></ruby><ruby>景勝<rt>かげかつ</rt></ruby>ね。,
split,,なしなしなしなしなしなし,
dialog,シュン4,<ruby>直江<rt>なおえ</rt></ruby><ruby>状<rt>じょう</rt></ruby>だ……！,
dialog,サリー1,<ruby>家康<rt>いえやす</rt></ruby>の<ruby>専横<rt>せんおう</rt></ruby>を<ruby>糾弾<rt>きゅうだん</rt></ruby>した<ruby>直江<rt>なおえ</rt></ruby><ruby>状<rt>じょう</rt></ruby>を<ruby>受<rt>う</rt></ruby>け<ruby>取<rt>と</rt></ruby>った<ruby>家康<rt>いえやす</rt></ruby>は、<ruby>福島県<rt>ふくしまけん</rt></ruby>の<ruby>会津<rt>あいづ</rt></ruby><ruby>地方<rt>ちほう</rt></ruby>を<ruby>領地<rt>りょうち</rt></ruby>にしていた<ruby>上杉<rt>うえすぎ</rt></ruby><ruby>景勝<rt>かげかつ</rt></ruby>を<ruby>征伐<rt>せいばつ</rt></ruby>することにするわ。,
image,,なしなしなしなしなしなし,上杉征伐に向かう家康
dialog,シオリン1,たしか、<ruby>徳川<rt>とくがわ</rt></ruby>と<ruby>上杉<rt>うえすぎ</rt></ruby>だと、<ruby>倍<rt>ばい</rt></ruby><ruby>以上<rt>いじょう</rt></ruby>の<ruby>石高<rt>こくだか</rt></ruby><ruby>差<rt>さ</rt></ruby>だったと<ruby>思<rt>おも</rt></ruby>うけど……。<ruby>上杉<rt>うえすぎ</rt></ruby>は<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>だったのかしら？,
split,,なしなしなしなしなしなし,
title,,<ruby>関ヶ原<rt>せきがはら</rt></ruby>へ,
image,,なしなしなしなしなしなし,内府違いの条々
dialog,サリー1,"<ruby>先<rt>さき</rt></ruby>に<ruby>言<rt>い</rt></ruby>っておくと、<ruby>上杉<rt>うえすぎ</rt></ruby>と<ruby>徳川<rt>とくがわ</rt></ruby>は<ruby>直接<rt>ちょくせつ</rt></ruby><ruby>戦<rt>たたか</rt></ruby>わなかったわ。なぜかというと、<ruby>家康<rt>いえやす</rt></ruby>がいなくなった<ruby>畿内<rt>きない</rt></ruby>で、<ruby>石田<rt>いしだ</rt></ruby><ruby>三成<rt>みつなり</rt></ruby>が<ruby>内府<rt>ないふ</rt></ruby>ちがいの<ruby>条々<rt>じょうじょう</rt></ruby>を<ruby>掲<rt>かか</rt></ruby>げて<ruby>挙兵<rt>きょへい</rt></ruby>したからよ。
<ruby>家康<rt>いえやす</rt></ruby>は、これを<ruby>受<rt>う</rt></ruby>けて<ruby>上杉<rt>うえすぎ</rt></ruby>ではなく<ruby>三成<rt>みつなり</rt></ruby>を<ruby>討<rt>う</rt></ruby>とうとするわ。",
dialog,シュン3,でも<ruby>上杉<rt>うえすぎ</rt></ruby><ruby>征伐<rt>せいばつ</rt></ruby><ruby>軍<rt>ぐん</rt></ruby>には、そんなに<ruby>味方<rt>みかた</rt></ruby>いないんじゃないか？,
dialog,サリー2,この<ruby>時点<rt>じてん</rt></ruby>で<ruby>家康<rt>いえやす</rt></ruby>は<ruby>味方<rt>みかた</rt></ruby>になってくれそうな<ruby>人<rt>ひと</rt></ruby>のほとんどに<ruby>密約<rt>みつやく</rt></ruby>を<ruby>持<rt>も</rt></ruby>ちかけていたのよ。だから<ruby>会津<rt>あいづ</rt></ruby>に<ruby>向<rt>む</rt></ruby>かう<ruby>途中<rt>とちゅう</rt></ruby>にある<ruby>栃木県<rt>とちぎけん</rt></ruby>の<ruby>小山<rt>おやま</rt></ruby>で<ruby>評定<rt>ひょうじょう</rt></ruby>を<ruby>開<rt>ひら</rt></ruby>いた<ruby>時<rt>とき</rt></ruby>には、ほとんどの<ruby>将<rt>しょう</rt></ruby>が<ruby>家康<rt>いえやす</rt></ruby>に<ruby>味方<rt>みかた</rt></ruby>することを<ruby>宣言<rt>せんげん</rt></ruby>したの。,
dialog,シオリン2,<ruby>東軍<rt>とうぐん</rt></ruby>のできあがりね。,
image,,なしなしなしなしなしなし,東軍オールスターズ
dialog,サリー1,"<ruby>一方<rt>いっぽう</rt></ruby>の<ruby>石田<rt>いしだ</rt></ruby><ruby>三成<rt>みつなり</rt></ruby>は<ruby>大谷吉継<rt>おおたによしつぐ</rt></ruby>と<ruby>相談<rt>そうだん</rt></ruby>して、このままでは<ruby>豊臣<rt>とよとみ</rt></ruby>が<ruby>徳川<rt>とくがわ</rt></ruby>に<ruby>乗<rt>の</rt></ruby>っ<ruby>取<rt>と</rt></ruby>られてしまうと<ruby>嘆<rt>なげ</rt></ruby>き、<ruby>立<rt>た</rt></ruby>ち<ruby>上<rt>あ</rt></ruby>がることを<ruby>決心<rt>けっしん</rt></ruby>したのよ。
<ruby>同<rt>おな</rt></ruby>じ<ruby>五<rt>ご</rt></ruby><ruby>大老<rt>たいろう</rt></ruby>として、<ruby>家康<rt>いえやす</rt></ruby>の<ruby>権勢<rt>けんせい</rt></ruby>に<ruby>不満<rt>ふまん</rt></ruby>を<ruby>持<rt>も</rt></ruby>っていた<ruby>毛利<rt>もうり</rt></ruby><ruby>輝元<rt>てるもと</rt></ruby>、<ruby>秀吉<rt>ひでよし</rt></ruby>の<ruby>親族<rt>しんぞく</rt></ruby>として<ruby>誇<rt>ほこ</rt></ruby>りを<ruby>持<rt>も</rt></ruby>っていた<ruby>宇喜多<rt>うきた</rt></ruby><ruby>秀家<rt>ひでいえ</rt></ruby>に<ruby>声<rt>こえ</rt></ruby>をかけたわ。",
split,,なしなしなしなしなしなし,
dialog,ハマボウ6,<ruby>西軍<rt>せいぐん</rt></ruby>が<ruby>揃<rt>そろ</rt></ruby>ったんだね。,
image,,なしなしなしなしなしなし,西軍オールスターズ
dialog,サリー1,"<ruby>西軍<rt>せいぐん</rt></ruby>は<ruby>手始<rt>てはじ</rt></ruby>めに<ruby>家康<rt>いえやす</rt></ruby>が<ruby>京都<rt>きょうと</rt></ruby>での<ruby>政治<rt>せいじ</rt></ruby>の<ruby>根城<rt>ねじろ</rt></ruby>にしていた<ruby>伏見城<rt>ふしみじょう</rt></ruby>を<ruby>攻<rt>せ</rt></ruby>め<ruby>落<rt>お</rt></ruby>とすわ。その<ruby>後<rt>あと</rt></ruby>、<ruby>伊勢<rt>いせ</rt></ruby>の<ruby>安濃津<rt>あのつ</rt></ruby>を<ruby>攻略<rt>こうりゃく</rt></ruby>。
<ruby>一方<rt>いっぽう</rt></ruby>の<ruby>東軍<rt>とうぐん</rt></ruby>は、すぐに<ruby>軍<rt>ぐん</rt></ruby>を<ruby>返<rt>かえ</rt></ruby>して、<ruby>岐阜城<rt>ぎふじょう</rt></ruby>を<ruby>攻撃<rt>こうげき</rt></ruby>してわずか3<ruby>日<rt>か</rt></ruby>で<ruby>落<rt>お</rt></ruby>としてしまったのよ。",
dialog,シュン3,<ruby>信長<rt>のぶなが</rt></ruby>が<ruby>苦労<rt>くろう</rt></ruby>して<ruby>手<rt>て</rt></ruby>に<ruby>入<rt>い</rt></ruby>れた<ruby>岐阜城<rt>ぎふじょう</rt></ruby>が、あっという<ruby>間<rt>ま</rt></ruby>に……。,
dialog,サリー2,こうして、<ruby>三成<rt>みつなり</rt></ruby>が<ruby>拠点<rt>きょてん</rt></ruby>にしていた<ruby>大垣城<rt>おおがきじょう</rt></ruby>の<ruby>中<rt>なか</rt></ruby>と<ruby>外<rt>そと</rt></ruby>で<ruby>東軍<rt>とうぐん</rt></ruby>と<ruby>西軍<rt>せいぐん</rt></ruby>はにらみ<ruby>合<rt>あ</rt></ruby>うことになるの。,
split,,なしなしなしなしなしなし,
title,,<ruby>関ヶ原<rt>せきがはら</rt></ruby><ruby>本戦<rt>ほんせん</rt></ruby>,
dialog,サリー1,でも<ruby>三成<rt>みつなり</rt></ruby>は<ruby>味方<rt>みかた</rt></ruby>のはずの<ruby>小早川<rt>こばやかわ</rt></ruby><ruby>秀秋<rt>ひであき</rt></ruby>が、いきなり<ruby>大垣城<rt>おおがきじょう</rt></ruby>の<ruby>背後<rt>はいご</rt></ruby>の<ruby>松尾<rt>まつお</rt></ruby><ruby>山<rt>やま</rt></ruby>を<ruby>奪<rt>うば</rt></ruby>って<ruby>布陣<rt>ふじん</rt></ruby>したことで、<ruby>大垣城<rt>おおがきじょう</rt></ruby>を<ruby>出<rt>で</rt></ruby>て<ruby>関ケ原<rt>せきがはら</rt></ruby>に<ruby>布陣<rt>ふじん</rt></ruby>することを<ruby>決<rt>き</rt></ruby>めるわ。,
dialog,ハマボウ5,<ruby>西軍<rt>せいぐん</rt></ruby>なのに、<ruby>勝手<rt>かって</rt></ruby>に<ruby>行動<rt>こうどう</rt></ruby>してたんだ……。,
dialog,サリー2,<ruby>東軍<rt>とうぐん</rt></ruby>も<ruby>関ケ原<rt>せきがはら</rt></ruby>に<ruby>布陣<rt>ふじん</rt></ruby>。そして、9<ruby>月<rt>がつ</rt></ruby>15<ruby>日<rt>にち</rt></ruby>の<ruby>午前<rt>ごぜん</rt></ruby>8<ruby>時<rt>じ</rt></ruby><ruby>頃<rt>ごろ</rt></ruby>、<ruby>霧<rt>きり</rt></ruby>の<ruby>中<rt>なか</rt></ruby>で<ruby>西軍<rt>せいぐん</rt></ruby>の<ruby>宇喜多<rt>うきた</rt></ruby><ruby>秀家<rt>ひでいえ</rt></ruby><ruby>隊<rt>たい</rt></ruby>と<ruby>東軍<rt>とうぐん</rt></ruby>の<ruby>松平<rt>まつだいら</rt></ruby><ruby>忠吉<rt>ただよし</rt></ruby>・<ruby>井伊<rt>いい</rt></ruby><ruby>直政<rt>なおまさ</rt></ruby><ruby>隊<rt>たい</rt></ruby>が<ruby>衝突<rt>しょうとつ</rt></ruby>したことで、<ruby>戦<rt>たたか</rt></ruby>いが<ruby>始<rt>はじ</rt></ruby>まるわ。,
dialog,ハマボウ7,<ruby>霧<rt>きり</rt></ruby>の<ruby>中<rt>なか</rt></ruby>ってことは、<ruby>偶然<rt>ぐうぜん</rt></ruby><ruby>始<rt>はじ</rt></ruby>まったってことかな？,
